case_id,crime_type_code,crime_type_description,severity_level,incident_datetime,latitude,longitude,region,district,priority,status,complainant_name,complainant_age,complainant_gender
20251030-0032,TH,Theft,Moderate,2024-11-03 15:29:16,13.142219940033417,80.28478773005963,North,Industrial Area,Medium,Reported,Vijay Nair,36,Male
20251030-0033,CY,Cybercrime,Serious,2024-09-08 13:33:51,13.078795961960532,80.28767457365642,West,Western Plains,High,Assigned,Kumar Das,19,Male
20251030-0034,FR,Fraud,Moderate,2023-09-15 19:18:24,13.069387552604416,80.24524285511235,East,Suburban East,Medium,Reported,Arun Kumar,52,Male
20251030-0035,CY,Cybercrime,Serious,2023-11-17 04:34:35,13.108163138494158,80.27577795484677,South,Southern Bay,High,Pending,Lakshmi Reddy,46,Other
20251030-0036,CY,Cybercrime,Serious,2023-07-11 04:06:10,13.050850846173544,80.27878299308944,North,Parkside,High,Under Investigation,Meena Sharma,70,Female
20251030-0037,BR,Burglary,Serious,2023-03-05 19:45:26,13.08867661003575,80.23737262511833,Central,City Center,High,Closed,Vijay Das,50,Male
20251030-0038,DR,Drug Related,Critical,2024-06-15 22:14:15,13.074327455673162,80.28516024308031,West,Western Plains,Critical,Assigned,Deepa Singh,46,Other
20251030-0039,AS,Assault,Serious,2024-12-23 18:08:38,13.030259979772534,80.2200114370185,West,Commercial West,High,Reported,Deepa Reddy,63,Female
20251030-0040,VT,Vehicle Theft,Moderate,2024-07-08 13:35:19,13.023085464318951,80.26292874582776,South,Residential South,Medium,Cold Case,Lakshmi Sharma,60,Female
20251030-0041,AS,Assault,Serious,2024-12-10 11:38:32,13.10277262172815,80.22819521635134,North,Industrial Area,High,Reported,Lakshmi Das,67,Female
20251030-0042,AS,Assault,Serious,2024-01-09 06:51:42,13.048577668010868,80.2622317448827,South,Residential South,High,Under Investigation,Deepa Das,29,Female
20251030-0043,RB,Robbery,Critical,2024-05-22 18:50:27,13.060784458199011,80.23638349841178,Central,Business District,Critical,Under Investigation,Deepa Nair,71,Other
20251030-0044,VT,Vehicle Theft,Moderate,2023-06-18 07:31:24,13.051988573419898,80.26462394318958,South,Coastal Zone,Medium,Assigned,Deepa Sharma,37,Other
20251030-0045,VT,Vehicle Theft,Moderate,2024-02-12 16:24:17,13.048630614251568,80.25215402500743,South,Residential South,Medium,Under Investigation,Meena Patel,68,Male
20251030-0046,CY,Cybercrime,Serious,2023-02-26 21:00:34,13.098879841163326,80.27451435597224,South,Coastal Zone,High,Assigned,Arun Iyer,49,Female
20251030-0047,AS,Assault,Serious,2024-01-12 21:07:56,13.032496327088499,80.22288942334004,North,Northern Heights,High,Assigned,Raj Das,27,Other
20251030-0048,TH,Theft,Moderate,2024-03-14 19:45:59,13.0774683781443,80.24378244123322,Central,Downtown,Medium,Pending,Raj Patel,25,Male
20251030-0049,TH,Theft,Moderate,2024-09-10 17:02:11,13.095582429937036,80.3145117433943,North,Northern Heights,Medium,Reported,Vijay Reddy,24,Male
20251030-0050,VN,Vandalism,Minor,2023-08-13 18:32:45,13.093540191377459,80.2958575885365,East,Suburban East,Low,Reported,Meena Reddy,72,Male
20251030-0051,AS,Assault,Serious,2024-06-02 17:43:10,13.135325843621505,80.35526215995381,North,Northern Heights,High,Reported,Lakshmi Reddy,67,Female
20251030-0052,CY,Cybercrime,Serious,2024-04-25 08:42:17,13.125473574094814,80.35232758508978,East,Market District,High,Cold Case,Kumar Nair,64,Female
20251030-0053,AS,Assault,Serious,2023-08-09 07:23:23,13.046336573140369,80.25676504706047,East,Eastern Hills,High,Pending,Arun Reddy,54,Other
20251030-0054,AS,Assault,Serious,2024-05-09 18:42:07,13.05687206774842,80.24829380532273,Central,City Center,High,Reported,Arun Iyer,44,Male
20251030-0055,FR,Fraud,Moderate,2024-06-15 08:45:25,13.144163013644281,80.25990898050762,East,Suburban East,Medium,Reported,Lakshmi Nair,50,Other
20251030-0056,BR,Burglary,Serious,2024-06-13 13:49:18,13.088180661006602,80.2910189406479,North,Industrial Area,High,Under Investigation,Deepa Reddy,75,Male
20251030-0057,RB,Robbery,Critical,2023-02-15 18:57:10,13.101205585570193,80.28932214517879,South,Coastal Zone,Critical,Under Investigation,Meena Nair,47,Female
20251030-0058,BR,Burglary,Serious,2023-08-31 13:56:27,13.143944611339002,80.19811660932596,North,Industrial Area,High,Pending,Meena Das,19,Female
20251030-0059,DR,Drug Related,Critical,2023-09-04 21:36:45,13.127053737856851,80.36987111913507,East,Market District,Critical,Cold Case,Kumar Kumar,42,Male
20251030-0060,FR,Fraud,Moderate,2023-11-21 19:07:38,13.063619781571436,80.26659652675085,South,Southern Bay,Medium,Pending,Raj Iyer,43,Female
20251030-0061,VT,Vehicle Theft,Moderate,2024-12-06 13:45:18,13.030100021639658,80.2291345105613,East,Market District,Medium,Closed,Raj Kumar,32,Other
20251030-0062,DR,Drug Related,Critical,2024-06-21 20:22:10,13.026817995959314,80.34518592470482,West,Commercial West,Critical,Under Investigation,Meena Patel,18,Male
20251030-0063,DR,Drug Related,Critical,2024-09-05 04:40:13,13.078165846798763,80.20837327425863,West,Commercial West,Critical,Pending,Lakshmi Nair,20,Female
20251030-0064,RB,Robbery,Critical,2024-05-05 05:25:17,13.089252345965502,80.23901127004633,West,Western Plains,Critical,Assigned,Arun Das,19,Female
20251030-0065,HM,Homicide,Critical,2023-09-23 05:37:10,13.0209706065236,80.2636690430662,Central,Downtown,Critical,Reported,Kumar Das,43,Other
20251030-0066,CY,Cybercrime,Serious,2023-04-02 19:32:33,13.10662809310245,80.25801127275723,East,Market District,High,Under Investigation,Priya Singh,52,Male
20251030-0067,DR,Drug Related,Critical,2023-03-17 19:38:00,13.094758744459389,80.26685430573858,South,Residential South,Critical,Assigned,Lakshmi Kumar,28,Male
20251030-0068,DR,Drug Related,Critical,2024-07-07 21:26:28,13.035698769712887,80.24808896542461,West,Western Plains,Critical,Assigned,Raj Iyer,23,Female
20251030-0069,BR,Burglary,Serious,2023-10-31 12:22:12,13.047151903696882,80.25782031160983,South,Residential South,High,Under Investigation,Priya Patel,71,Female
20251030-0070,BR,Burglary,Serious,2024-10-30 20:34:16,13.107090482331099,80.28965907050319,South,Coastal Zone,High,Pending,Raj Kumar,71,Male
20251030-0071,AS,Assault,Serious,2024-02-26 18:15:57,13.066117373752563,80.26364419911545,South,Residential South,High,Cold Case,Lakshmi Reddy,68,Other
20251030-0072,CY,Cybercrime,Serious,2024-02-16 08:49:42,13.080994190169525,80.2774516108842,West,Commercial West,High,Assigned,Arun Das,53,Female
20251030-0073,AS,Assault,Serious,2024-08-29 18:26:58,13.108934463585173,80.31102558320167,West,Western Plains,High,Cold Case,Vijay Reddy,56,Other
20251030-0074,RB,Robbery,Critical,2023-06-29 07:49:28,13.169112251413395,80.31171611984158,North,Parkside,Critical,Pending,Deepa Patel,19,Other
20251030-0075,HM,Homicide,Critical,2023-11-05 10:18:59,13.088174270012702,80.27577143215115,North,Industrial Area,Critical,Cold Case,Deepa Kumar,52,Female
20251030-0076,VN,Vandalism,Minor,2023-03-06 04:20:54,13.03100131019456,80.25858497766912,Central,Downtown,Low,Reported,Priya Iyer,47,Other
20251030-0077,CY,Cybercrime,Serious,2024-12-08 08:27:49,13.059195549074987,80.29875990875456,East,Suburban East,High,Pending,Raj Nair,36,Female
20251030-0078,AS,Assault,Serious,2024-11-21 21:52:16,13.047460803190887,80.32693890106168,South,Southern Bay,High,Assigned,Deepa Patel,72,Male
20251030-0079,FR,Fraud,Moderate,2024-09-01 15:50:28,13.056140871251335,80.27326493404824,Central,Business District,Medium,Under Investigation,Meena Das,20,Other
20251030-0080,RB,Robbery,Critical,2023-12-24 20:22:18,13.095788476021964,80.28809526274374,East,Market District,Critical,Under Investigation,Lakshmi Nair,56,Male
20251030-0081,TH,Theft,Moderate,2024-10-13 21:26:34,12.994946346236382,80.33980158396069,West,Commercial West,Medium,Assigned,Meena Nair,62,Other
20251030-0082,HM,Homicide,Critical,2023-02-25 07:50:15,13.076385492542855,80.26703835217482,Central,Downtown,Critical,Under Investigation,Raj Reddy,28,Other
20251030-0083,FR,Fraud,Moderate,2023-10-20 13:00:25,13.013631362109345,80.17450052382958,South,Residential South,Medium,Under Investigation,Priya Sharma,60,Other
20251030-0084,CY,Cybercrime,Serious,2024-10-12 19:15:24,13.075114821267137,80.2690961080101,East,Suburban East,High,Assigned,Vijay Singh,69,Male
20251030-0085,AS,Assault,Serious,2024-08-10 19:57:09,13.149967612520522,80.2640531435906,West,Commercial West,High,Assigned,Raj Kumar,75,Other
20251030-0086,RB,Robbery,Critical,2024-09-01 22:54:56,13.044228473297657,80.27622542121023,South,Coastal Zone,Critical,Under Investigation,Vijay Nair,18,Male
20251030-0087,VN,Vandalism,Minor,2023-10-14 13:56:18,13.061144681077607,80.28174567261232,West,Western Plains,Low,Reported,Raj Kumar,24,Female
20251030-0088,VT,Vehicle Theft,Moderate,2023-03-28 15:19:12,13.128095221636352,80.21575866452741,Central,City Center,Medium,Reported,Meena Sharma,44,Male
20251030-0089,RB,Robbery,Critical,2024-09-04 12:29:27,13.05586726158808,80.27510201294952,North,Northern Heights,Critical,Reported,Arun Singh,41,Female
20251030-0090,VN,Vandalism,Minor,2024-09-19 05:43:58,13.084145233954052,80.29227564996107,North,Parkside,Low,Pending,Kumar Patel,29,Other
20251030-0091,AS,Assault,Serious,2024-11-17 19:53:44,13.157843510032071,80.29594501290528,West,University Area,High,Closed,Arun Reddy,46,Other
20251030-0092,AS,Assault,Serious,2023-06-17 06:39:24,13.072650745909502,80.27226241414282,Central,Business District,High,Closed,Arun Nair,28,Female
20251030-0093,VT,Vehicle Theft,Moderate,2023-12-23 04:12:15,13.0802696306086,80.28664878705662,South,Coastal Zone,Medium,Pending,Arun Sharma,75,Other
20251030-0094,BR,Burglary,Serious,2023-12-06 11:49:14,12.996505842812322,80.17672678953771,Central,City Center,High,Assigned,Raj Reddy,26,Female
20251030-0095,CY,Cybercrime,Serious,2023-10-27 20:09:01,13.048842068556862,80.33154417691813,South,Residential South,High,Reported,Kumar Patel,36,Other
20251030-0096,VT,Vehicle Theft,Moderate,2023-06-28 20:07:26,13.094525424026953,80.28322998641033,North,Industrial Area,Medium,Pending,Arun Reddy,32,Other
20251030-0097,VN,Vandalism,Minor,2024-04-02 14:43:30,13.115209964797007,80.28750010001808,Central,City Center,Low,Assigned,Raj Iyer,25,Other
20251030-0098,AS,Assault,Serious,2023-08-16 19:37:53,13.099271362751516,80.2657774093833,South,Coastal Zone,High,Closed,Deepa Nair,37,Other
20251030-0099,RB,Robbery,Critical,2024-09-30 19:27:34,13.079223628534114,80.27699536186272,North,Northern Heights,Critical,Under Investigation,Kumar Das,37,Female
20251030-0100,AS,Assault,Serious,2024-07-25 11:29:07,13.050317144059479,80.2472326180792,North,Industrial Area,High,Pending,Vijay Das,52,Male
20251030-0101,AS,Assault,Serious,2024-05-17 03:14:19,13.099036825177965,80.29292360144346,West,Western Plains,High,Under Investigation,Vijay Reddy,38,Female
20251030-0102,FR,Fraud,Moderate,2024-10-21 13:56:30,13.103049901888925,80.30464972137923,West,University Area,Medium,Reported,Raj Reddy,67,Female
20251030-0103,RB,Robbery,Critical,2023-03-31 18:58:26,13.102646937526771,80.26217887403129,East,Suburban East,Critical,Assigned,Lakshmi Iyer,48,Female
20251030-0104,TH,Theft,Moderate,2023-03-03 22:59:02,13.089338500326832,80.26555790008418,West,University Area,Medium,Under Investigation,Arun Das,73,Female
20251030-0105,RB,Robbery,Critical,2024-03-25 20:29:14,13.047547232964583,80.23864773899659,West,Western Plains,Critical,Under Investigation,Deepa Kumar,57,Male
20251030-0106,RB,Robbery,Critical,2023-06-18 20:57:58,13.041156327362986,80.25166757583395,North,Northern Heights,Critical,Under Investigation,Deepa Das,63,Male
20251030-0107,DR,Drug Related,Critical,2024-06-20 21:38:07,13.124059938862466,80.25595093104222,South,Coastal Zone,Critical,Cold Case,Meena Patel,41,Male
20251030-0108,BR,Burglary,Serious,2023-03-09 17:07:06,13.082518030000179,80.29925941371114,West,Western Plains,High,Under Investigation,Deepa Singh,54,Male
20251030-0109,CY,Cybercrime,Serious,2023-10-27 10:05:57,13.139949423391622,80.34174434668842,East,Eastern Hills,High,Closed,Lakshmi Das,33,Male
20251030-0110,HM,Homicide,Critical,2024-12-15 14:50:01,13.023401032011284,80.22435767935654,Central,Downtown,Critical,Assigned,Priya Sharma,46,Female
20251030-0111,TH,Theft,Moderate,2023-12-19 19:53:27,13.06558007734806,80.27296226348403,Central,Business District,Medium,Reported,Meena Patel,46,Female
20251030-0112,AS,Assault,Serious,2023-01-04 12:46:19,13.057486802891784,80.24410546860418,Central,City Center,High,Assigned,Kumar Reddy,20,Male
20251030-0113,FR,Fraud,Moderate,2023-10-24 18:28:53,13.046568394103321,80.26029768655245,Central,Business District,Medium,Reported,Vijay Reddy,20,Female
20251030-0114,DR,Drug Related,Critical,2024-09-26 20:52:10,13.038921587894796,80.17919906398612,West,Western Plains,Critical,Under Investigation,Raj Patel,25,Female
20251030-0115,FR,Fraud,Moderate,2023-05-26 01:25:45,13.07408594085703,80.28778455273394,South,Southern Bay,Medium,Assigned,Arun Sharma,22,Female
20251030-0116,HM,Homicide,Critical,2023-10-08 07:48:58,13.043647069981896,80.23925018856345,Central,Business District,Critical,Under Investigation,Arun Sharma,62,Other
20251030-0117,HM,Homicide,Critical,2023-01-17 09:05:32,13.100356328340867,80.27711471428005,South,Southern Bay,Critical,Assigned,Kumar Singh,38,Other
20251030-0118,VN,Vandalism,Minor,2024-05-13 19:57:23,13.109262004616923,80.3671452620032,North,Parkside,Low,Pending,Arun Kumar,60,Female
20251030-0119,BR,Burglary,Serious,2024-06-24 13:41:58,13.047925155198415,80.28741516585382,East,Market District,High,Pending,Lakshmi Reddy,68,Other
20251030-0120,VN,Vandalism,Minor,2023-02-20 16:30:27,13.065902280003458,80.25903120882515,Central,Business District,Low,Pending,Meena Kumar,31,Other
20251030-0121,BR,Burglary,Serious,2024-07-28 17:56:49,13.08687523546973,80.27642792327678,East,Market District,High,Assigned,Vijay Patel,73,Male
20251030-0122,RB,Robbery,Critical,2023-02-13 07:00:21,13.08278515352845,80.2977337318209,Central,Downtown,Critical,Under Investigation,Priya Das,62,Male
20251030-0123,TH,Theft,Moderate,2023-10-11 17:21:55,13.15771436967334,80.29198748476318,South,Southern Bay,Medium,Pending,Priya Sharma,49,Male
20251030-0124,RB,Robbery,Critical,2024-04-07 05:31:24,13.101092379532345,80.26301352021297,North,Industrial Area,Critical,Under Investigation,Deepa Nair,24,Female
20251030-0125,VN,Vandalism,Minor,2023-05-08 07:45:06,13.045201330754558,80.24479305154026,North,Industrial Area,Low,Under Investigation,Meena Reddy,35,Male
20251030-0126,AS,Assault,Serious,2024-06-12 06:02:33,13.120978031063201,80.36292042082522,North,Industrial Area,High,Closed,Meena Nair,65,Other
20251030-0127,VN,Vandalism,Minor,2024-06-16 02:36:39,13.054923403558297,80.24469771492835,West,Western Plains,Low,Assigned,Lakshmi Reddy,75,Other
20251030-0128,DR,Drug Related,Critical,2024-01-17 19:33:19,13.10709458789959,80.22727117914404,East,Market District,Critical,Reported,Raj Das,71,Other
20251030-0129,BR,Burglary,Serious,2024-03-16 18:59:25,13.015193947789612,80.29390323762888,North,Parkside,High,Closed,Priya Reddy,47,Other
20251030-0130,CY,Cybercrime,Serious,2023-06-17 03:51:13,13.079914726727651,80.27446785408274,South,Residential South,High,Reported,Priya Iyer,54,Other
20251030-0131,FR,Fraud,Moderate,2023-07-29 19:19:18,13.055732795934437,80.29011267461973,West,Commercial West,Medium,Assigned,Kumar Das,50,Female
20251030-0132,VN,Vandalism,Minor,2023-05-07 04:26:26,13.137423848246822,80.35437436325823,East,Eastern Hills,Low,Assigned,Kumar Iyer,67,Female
20251030-0133,VN,Vandalism,Minor,2024-04-25 07:25:03,13.067641582125033,80.2282402918235,North,Industrial Area,Low,Pending,Arun Das,20,Other
20251030-0134,AS,Assault,Serious,2023-07-17 17:21:38,13.086398253423946,80.25294251674026,Central,Business District,High,Assigned,Vijay Patel,57,Female
20251030-0135,TH,Theft,Moderate,2024-04-21 19:33:38,13.060688136385702,80.36894845143793,West,University Area,Medium,Closed,Arun Singh,72,Other
20251030-0136,CY,Cybercrime,Serious,2023-07-14 01:14:11,13.005373134408682,80.26827206007718,South,Southern Bay,High,Under Investigation,Lakshmi Iyer,29,Other
20251030-0137,TH,Theft,Moderate,2024-08-30 08:17:38,13.152948168557106,80.18359536902294,West,Commercial West,Medium,Under Investigation,Arun Iyer,42,Female
20251030-0138,FR,Fraud,Moderate,2023-11-01 15:11:31,13.092877309445184,80.28372550799466,East,Eastern Hills,Medium,Cold Case,Vijay Reddy,24,Other
20251030-0139,DR,Drug Related,Critical,2023-11-05 16:48:24,13.130998618315209,80.1891522898226,East,Market District,Critical,Assigned,Deepa Sharma,68,Male
20251030-0140,CY,Cybercrime,Serious,2024-07-20 15:39:02,13.072513450958015,80.26256372309625,South,Coastal Zone,High,Assigned,Arun Reddy,41,Male
20251030-0141,VT,Vehicle Theft,Moderate,2024-05-21 23:43:54,13.115687173740822,80.29611893579197,South,Southern Bay,Medium,Under Investigation,Meena Singh,49,Female
20251030-0142,CY,Cybercrime,Serious,2024-09-14 19:11:47,13.181067834713751,80.19752874592928,Central,Downtown,High,Pending,Arun Kumar,25,Male
20251030-0143,RB,Robbery,Critical,2024-04-02 06:08:31,13.039756818347822,80.2497640524771,South,Residential South,Critical,Pending,Meena Reddy,40,Male
20251030-0144,HM,Homicide,Critical,2023-11-28 18:14:42,13.083601024511982,80.26787664196658,North,Parkside,Critical,Pending,Meena Reddy,47,Other
20251030-0145,BR,Burglary,Serious,2023-03-15 18:38:05,13.171753217976631,80.20899981531718,South,Coastal Zone,High,Under Investigation,Vijay Reddy,70,Female
20251030-0146,VT,Vehicle Theft,Moderate,2024-01-02 06:28:17,13.032988958005918,80.25421990372926,South,Coastal Zone,Medium,Pending,Kumar Sharma,69,Male
20251030-0147,HM,Homicide,Critical,2023-10-18 18:28:13,13.08448438583724,80.2736126067695,West,University Area,Critical,Assigned,Lakshmi Reddy,62,Male
20251030-0148,AS,Assault,Serious,2023-07-08 23:07:18,13.108281955573302,80.2715000226814,Central,Downtown,High,Assigned,Deepa Singh,29,Other
20251030-0149,RB,Robbery,Critical,2024-07-18 17:36:45,13.086405943269705,80.25446536977975,West,University Area,Critical,Under Investigation,Raj Iyer,72,Other
20251030-0150,VN,Vandalism,Minor,2023-03-09 16:34:23,13.100673838837746,80.3243369216768,North,Industrial Area,Low,Closed,Lakshmi Kumar,56,Other
20251030-0151,AS,Assault,Serious,2024-08-28 00:22:31,13.05259924709371,80.22737230653124,South,Residential South,High,Closed,Raj Singh,51,Male
20251030-0152,BR,Burglary,Serious,2024-08-29 16:28:54,13.012012755082994,80.20233207600963,West,University Area,High,Assigned,Raj Reddy,69,Female
20251030-0153,DR,Drug Related,Critical,2023-07-03 22:08:40,13.067692530670621,80.22600102696991,East,Eastern Hills,Critical,Under Investigation,Meena Patel,44,Other
20251030-0154,VN,Vandalism,Minor,2023-09-13 17:54:50,13.134627058160378,80.2005304974238,East,Eastern Hills,Low,Closed,Deepa Das,35,Other
20251030-0155,DR,Drug Related,Critical,2024-11-25 14:02:23,13.098511402187905,80.27078021063751,West,Commercial West,Critical,Reported,Lakshmi Kumar,62,Male
20251030-0156,DR,Drug Related,Critical,2024-06-22 07:49:10,13.054569598229923,80.22244309033006,North,Industrial Area,Critical,Under Investigation,Arun Iyer,64,Female
20251030-0157,VT,Vehicle Theft,Moderate,2023-05-07 17:29:04,13.074117613412195,80.2426361662462,West,Western Plains,Medium,Pending,Lakshmi Reddy,27,Female
20251030-0158,BR,Burglary,Serious,2024-10-13 04:51:13,13.019247449642974,80.19115700724012,Central,Business District,High,Pending,Deepa Nair,52,Other
20251030-0159,TH,Theft,Moderate,2024-03-06 07:15:12,13.135844330332965,80.28509907937394,East,Market District,Medium,Assigned,Priya Iyer,26,Other
20251030-0160,VT,Vehicle Theft,Moderate,2024-05-10 07:22:46,13.114353068723196,80.25373214869558,South,Residential South,Medium,Under Investigation,Kumar Nair,29,Female
20251030-0161,HM,Homicide,Critical,2024-03-24 15:53:09,13.085176293623736,80.20508868226976,West,Commercial West,Critical,Under Investigation,Lakshmi Nair,68,Female
20251030-0162,BR,Burglary,Serious,2024-10-09 17:10:27,13.095682154487939,80.25907149626326,South,Coastal Zone,High,Reported,Lakshmi Nair,20,Other
20251030-0163,VT,Vehicle Theft,Moderate,2024-12-19 19:02:10,13.035053446284463,80.1964230292399,East,Eastern Hills,Medium,Pending,Arun Singh,28,Male
20251030-0164,CY,Cybercrime,Serious,2024-08-28 11:47:50,13.100956760645094,80.27041145594309,West,Commercial West,High,Reported,Kumar Das,51,Male
20251030-0165,HM,Homicide,Critical,2023-12-16 21:36:44,13.136678497007223,80.36762872483442,West,University Area,Critical,Under Investigation,Deepa Sharma,61,Other
20251030-0166,DR,Drug Related,Critical,2024-06-19 19:03:45,13.07004124717495,80.25233860796841,West,Commercial West,Critical,Reported,Deepa Patel,63,Other
20251030-0167,RB,Robbery,Critical,2024-04-05 16:06:06,13.085727601415321,80.28409932771862,Central,City Center,Critical,Pending,Kumar Reddy,29,Other
20251030-0168,VT,Vehicle Theft,Moderate,2023-11-29 06:26:10,13.065829941591918,80.28336301348398,South,Residential South,Medium,Under Investigation,Priya Reddy,58,Male
20251030-0169,RB,Robbery,Critical,2024-08-28 21:51:02,13.121474677082055,80.21845527911273,North,Northern Heights,Critical,Assigned,Kumar Singh,48,Male
20251030-0170,FR,Fraud,Moderate,2024-05-27 19:38:46,13.037072061508423,80.25148529181475,North,Parkside,Medium,Assigned,Deepa Iyer,68,Male
20251030-0171,CY,Cybercrime,Serious,2024-11-05 16:21:21,13.070631442887112,80.2721858882934,South,Residential South,High,Under Investigation,Meena Kumar,39,Female
20251030-0172,VN,Vandalism,Minor,2024-02-14 12:20:20,13.017062571604814,80.3448555546638,East,Eastern Hills,Low,Reported,Deepa Sharma,66,Male
20251030-0173,BR,Burglary,Serious,2023-07-31 19:16:03,13.089438878994141,80.2898258668044,Central,City Center,High,Assigned,Raj Patel,28,Male
20251030-0174,DR,Drug Related,Critical,2023-01-07 08:35:56,13.063741519566278,80.2512300238823,West,University Area,Critical,Under Investigation,Priya Patel,19,Female
20251030-0175,BR,Burglary,Serious,2024-10-17 07:20:43,13.023416528867735,80.29396988383077,Central,Downtown,High,Under Investigation,Kumar Kumar,51,Other
20251030-0176,DR,Drug Related,Critical,2023-05-20 20:22:57,13.035728227398058,80.24403978970729,West,University Area,Critical,Assigned,Vijay Reddy,29,Male
