case_id,name,age,status
20251030-0063,Suspect 58,21,Arrested
20251030-0064,Suspect 221,49,Wanted
20251030-0064,Suspect 304,27,Person of Interest
20251030-0065,Suspect 947,60,Arrested
20251030-0072,Suspect 793,64,Arrested
20251030-0072,Suspect 531,57,Suspect
20251030-0074,Suspect 553,52,Wanted
20251030-0074,Suspect 831,24,Person of Interest
20251030-0077,Suspect 629,47,Person of Interest
20251030-0077,Suspect 963,42,Wanted
20251030-0078,Suspect 882,52,Person of Interest
20251030-0080,Suspect 803,42,Arrested
20251030-0080,Suspect 85,26,Suspect
20251030-0088,Suspect 716,47,Suspect
20251030-0088,Suspect 89,59,Suspect
20251030-0089,Suspect 107,38,Arrested
20251030-0089,Suspect 55,58,Person of Interest
20251030-0090,Suspect 311,35,Person of Interest
20251030-0090,Suspect 211,28,Person of Interest
20251030-0093,Suspect 261,64,Wanted
20251030-0097,Suspect 170,52,Suspect
20251030-0097,Suspect 294,58,Arrested
20251030-0099,Suspect 917,45,Suspect
20251030-0099,Suspect 309,31,Person of Interest
20251030-0099,Suspect 704,60,Wanted
20251030-0101,Suspect 199,24,Person of Interest
20251030-0102,Suspect 557,38,Suspect
20251030-0102,Suspect 56,37,Arrested
20251030-0103,Suspect 718,28,Suspect
20251030-0106,Suspect 504,47,Wanted
20251030-0106,Suspect 21,55,Arrested
20251030-0109,Suspect 466,36,Arrested
20251030-0109,Suspect 548,33,Person of Interest
20251030-0109,Suspect 966,36,Wanted
20251030-0110,Suspect 62,43,Wanted
20251030-0111,Suspect 760,36,Arrested
20251030-0111,Suspect 17,22,Arrested
20251030-0111,Suspect 143,38,Wanted
20251030-0122,Suspect 651,61,Arrested
20251030-0122,Suspect 463,36,Arrested
20251030-0122,Suspect 64,39,Wanted
20251030-0125,Suspect 942,37,Wanted
20251030-0125,Suspect 691,19,Arrested
20251030-0125,Suspect 641,24,Suspect
20251030-0127,Suspect 842,37,Suspect
20251030-0127,Suspect 576,37,Suspect
20251030-0128,Suspect 735,51,Arrested
20251030-0128,Suspect 709,47,Suspect
20251030-0128,Suspect 243,29,Suspect
20251030-0130,Suspect 67,56,Person of Interest
20251030-0130,Suspect 236,51,Suspect
20251030-0130,Suspect 101,32,Suspect
20251030-0131,Suspect 879,65,Wanted
20251030-0131,Suspect 925,40,Arrested
20251030-0131,Suspect 346,47,Arrested
20251030-0137,Suspect 881,49,Arrested
20251030-0137,Suspect 442,58,Wanted
20251030-0138,Suspect 21,59,Suspect
20251030-0139,Suspect 905,32,Person of Interest
20251030-0140,Suspect 917,55,Person of Interest
20251030-0140,Suspect 866,20,Person of Interest
20251030-0140,Suspect 500,40,Suspect
20251030-0144,Suspect 139,33,Wanted
20251030-0144,Suspect 984,46,Wanted
20251030-0145,Suspect 368,24,Wanted
20251030-0145,Suspect 131,35,Wanted
20251030-0149,Suspect 781,33,Person of Interest
20251030-0149,Suspect 458,32,Suspect
20251030-0150,Suspect 128,21,Wanted
20251030-0151,Suspect 51,28,Person of Interest
20251030-0154,Suspect 917,18,Person of Interest
20251030-0154,Suspect 541,28,Arrested
20251030-0154,Suspect 912,29,Suspect
20251030-0155,Suspect 268,60,Wanted
20251030-0157,Suspect 612,31,Wanted
20251030-0157,Suspect 786,22,Wanted
20251030-0157,Suspect 57,25,Suspect
20251030-0164,Suspect 479,55,Suspect
20251030-0165,Suspect 379,34,Wanted
20251030-0165,Suspect 752,54,Wanted
20251030-0169,Suspect 446,64,Wanted
20251030-0172,Suspect 225,25,Arrested
20251030-0173,Suspect 428,26,Wanted
20251030-0173,Suspect 324,54,Arrested
20251030-0173,Suspect 961,62,Suspect
20251030-0174,Suspect 977,57,Person of Interest
20251030-0174,Suspect 232,36,Person of Interest
20251030-0174,Suspect 982,28,Arrested
20251030-0175,Suspect 758,18,Person of Interest
20251030-0175,Suspect 489,63,Suspect
20251030-0175,Suspect 211,43,Arrested
20251030-0178,Suspect 286,44,Suspect
20251030-0178,Suspect 250,39,Arrested
20251030-0180,Suspect 515,37,Arrested
20251030-0180,Suspect 195,46,Person of Interest
20251030-0180,Suspect 705,44,Wanted
20251030-0181,Suspect 559,38,Person of Interest
20251030-0184,Suspect 549,35,Arrested
20251030-0185,Suspect 694,45,Arrested
20251030-0188,Suspect 39,26,Suspect
20251030-0188,Suspect 83,61,Wanted
20251030-0189,Suspect 42,30,Arrested
20251030-0189,Suspect 142,22,Suspect
20251030-0198,Suspect 889,22,Person of Interest
20251030-0199,Suspect 133,61,Arrested
20251030-0199,Suspect 373,26,Wanted
20251030-0199,Suspect 664,23,Person of Interest
20251030-0201,Suspect 736,50,Arrested
20251030-0201,Suspect 465,55,Arrested
20251030-0201,Suspect 156,24,Person of Interest
20251030-0202,Suspect 376,29,Suspect
20251030-0202,Suspect 961,28,Arrested
20251030-0202,Suspect 239,61,Person of Interest
20251030-0203,Suspect 378,49,Wanted
20251030-0203,Suspect 454,42,Wanted
20251030-0205,Suspect 410,23,Person of Interest
20251030-0205,Suspect 838,25,Wanted
20251030-0205,Suspect 501,55,Person of Interest
20251030-0206,Suspect 259,47,Wanted
20251030-0206,Suspect 920,23,Wanted
20251030-0206,Suspect 630,42,Arrested
20251030-0208,Suspect 319,30,Suspect
20251030-0208,Suspect 926,40,Wanted
20251030-0208,Suspect 513,41,Wanted
20251030-0211,Suspect 452,55,Arrested
20251030-0216,Suspect 333,22,Wanted
20251030-0218,Suspect 447,28,Wanted
20251030-0219,Suspect 527,63,Wanted
20251030-0221,Suspect 103,26,Person of Interest
20251030-0226,Suspect 175,44,Suspect
20251030-0226,Suspect 468,37,Suspect
20251030-0229,Suspect 59,51,Wanted
20251030-0229,Suspect 339,54,Person of Interest
20251030-0229,Suspect 131,58,Suspect
20251030-0231,Suspect 505,24,Person of Interest
20251030-0231,Suspect 909,64,Wanted
20251030-0234,Suspect 144,29,Arrested
20251030-0234,Suspect 187,22,Suspect
20251030-0235,Suspect 197,21,Suspect
20251030-0235,Suspect 203,62,Arrested
20251030-0235,Suspect 144,39,Suspect
20251030-0236,Suspect 636,28,Person of Interest
20251030-0236,Suspect 683,33,Wanted
20251030-0236,Suspect 647,21,Suspect
20251030-0238,Suspect 98,30,Arrested
20251030-0238,Suspect 576,32,Suspect
20251030-0244,Suspect 389,60,Person of Interest
20251030-0244,Suspect 82,19,Suspect
20251030-0245,Suspect 656,59,Suspect
20251030-0246,Suspect 595,63,Suspect
20251030-0246,Suspect 518,18,Arrested
20251030-0246,Suspect 921,54,Arrested
20251030-0247,Suspect 8,18,Person of Interest
20251030-0247,Suspect 998,50,Person of Interest
20251030-0247,Suspect 665,37,Wanted
20251030-0249,Suspect 783,45,Suspect
20251030-0251,Suspect 268,38,Person of Interest
20251030-0251,Suspect 382,43,Person of Interest
20251030-0252,Suspect 914,29,Person of Interest
20251030-0252,Suspect 525,31,Wanted
20251030-0252,Suspect 244,54,Wanted
20251030-0256,Suspect 247,19,Suspect
20251030-0257,Suspect 784,63,Person of Interest
20251030-0257,Suspect 356,30,Wanted
20251030-0257,Suspect 891,34,Arrested
20251030-0258,Suspect 147,65,Arrested
20251030-0258,Suspect 977,41,Person of Interest
20251030-0258,Suspect 743,18,Wanted
20251030-0260,Suspect 261,44,Suspect
20251030-0260,Suspect 730,62,Arrested
20251030-0261,Suspect 732,24,Suspect
20251030-0261,Suspect 376,47,Arrested
20251030-0261,Suspect 474,42,Person of Interest
20251030-0263,Suspect 277,30,Arrested
20251030-0263,Suspect 96,64,Suspect
20251030-0268,Suspect 500,58,Suspect
20251030-0268,Suspect 65,56,Person of Interest
20251030-0269,Suspect 885,33,Wanted
20251030-0270,Suspect 872,24,Wanted
20251030-0270,Suspect 693,31,Suspect
20251030-0270,Suspect 969,40,Arrested
20251030-0272,Suspect 100,30,Wanted
20251030-0272,Suspect 580,56,Suspect
20251030-0272,Suspect 891,57,Arrested
20251030-0274,Suspect 969,27,Wanted
20251030-0274,Suspect 745,26,Arrested
20251030-0276,Suspect 757,23,Arrested
20251030-0277,Suspect 315,55,Arrested
20251030-0277,Suspect 730,43,Arrested
20251030-0278,Suspect 544,31,Person of Interest
20251030-0279,Suspect 230,22,Arrested
20251030-0279,Suspect 28,38,Suspect
20251030-0279,Suspect 246,65,Wanted
20251030-0288,Suspect 145,47,Person of Interest
20251030-0288,Suspect 135,60,Arrested
20251030-0288,Suspect 783,56,Suspect
20251030-0294,Suspect 695,59,Arrested
20251030-0294,Suspect 409,32,Person of Interest
20251030-0294,Suspect 829,64,Suspect
20251030-0295,Suspect 309,19,Person of Interest
20251030-0295,Suspect 523,25,Suspect
20251030-0296,Suspect 754,22,Wanted
20251030-0296,Suspect 812,28,Person of Interest
20251030-0297,Suspect 433,38,Person of Interest
20251030-0297,Suspect 994,42,Arrested
20251030-0297,Suspect 700,63,Person of Interest
20251030-0304,Suspect 292,33,Arrested
20251030-0304,Suspect 255,64,Suspect
20251030-0304,Suspect 421,64,Arrested
20251030-0305,Suspect 250,35,Wanted
20251030-0305,Suspect 896,46,Suspect
20251030-0308,Suspect 737,25,Arrested
20251030-0310,Suspect 800,45,Suspect
20251030-0310,Suspect 539,32,Wanted
20251030-0310,Suspect 851,54,Person of Interest
20251030-0311,Suspect 166,36,Wanted
20251030-0311,Suspect 614,30,Person of Interest
20251030-0313,Suspect 510,23,Wanted
20251030-0313,Suspect 927,51,Suspect
20251030-0313,Suspect 876,50,Wanted
20251030-0315,Suspect 700,59,Person of Interest
20251030-0315,Suspect 751,25,Arrested
20251030-0315,Suspect 922,56,Person of Interest
20251030-0317,Suspect 662,19,Wanted
20251030-0317,Suspect 420,49,Wanted
20251030-0317,Suspect 409,64,Person of Interest
20251030-0318,Suspect 526,48,Arrested
20251030-0318,Suspect 755,29,Arrested
20251030-0320,Suspect 671,44,Suspect
20251030-0320,Suspect 624,45,Wanted
20251030-0320,Suspect 994,31,Wanted
20251030-0322,Suspect 727,51,Person of Interest
20251030-0322,Suspect 778,57,Arrested
20251030-0325,Suspect 268,52,Suspect
20251030-0325,Suspect 894,58,Wanted
20251030-0329,Suspect 431,57,Arrested
20251030-0331,Suspect 784,21,Suspect
20251030-0335,Suspect 107,31,Wanted
20251030-0337,Suspect 80,49,Arrested
20251030-0337,Suspect 525,20,Arrested
20251030-0337,Suspect 651,61,Suspect
20251030-0338,Suspect 552,27,Person of Interest
20251030-0338,Suspect 434,52,Person of Interest
20251030-0338,Suspect 426,19,Person of Interest
20251030-0340,Suspect 910,18,Person of Interest
20251030-0340,Suspect 10,20,Wanted
20251030-0342,Suspect 75,39,Wanted
20251030-0343,Suspect 879,41,Arrested
20251030-0343,Suspect 337,53,Person of Interest
20251030-0343,Suspect 255,37,Person of Interest
20251030-0344,Suspect 627,27,Arrested
20251030-0344,Suspect 290,54,Suspect
20251030-0344,Suspect 888,29,Suspect
20251030-0347,Suspect 698,23,Wanted
20251030-0347,Suspect 47,42,Suspect
20251030-0347,Suspect 510,55,Arrested
20251030-0348,Suspect 324,19,Arrested
20251030-0348,Suspect 97,50,Suspect
20251030-0350,Suspect 604,55,Person of Interest
20251030-0350,Suspect 296,56,Arrested
20251030-0350,Suspect 797,19,Suspect
20251030-0355,Suspect 581,18,Suspect
20251030-0355,Suspect 992,63,Suspect
20251030-0356,Suspect 379,26,Suspect
20251030-0356,Suspect 975,32,Wanted
20251030-0364,Suspect 820,26,Suspect
20251030-0364,Suspect 123,62,Wanted
20251030-0365,Suspect 702,42,Suspect
20251030-0365,Suspect 691,50,Wanted
20251030-0365,Suspect 239,54,Person of Interest
20251030-0367,Suspect 726,41,Suspect
20251030-0367,Suspect 832,35,Suspect
20251030-0369,Suspect 163,45,Arrested
20251030-0369,Suspect 294,64,Arrested
20251030-0369,Suspect 504,39,Arrested
20251030-0370,Suspect 332,25,Suspect
20251030-0370,Suspect 521,49,Person of Interest
20251030-0371,Suspect 860,34,Suspect
20251030-0371,Suspect 435,53,Person of Interest
20251030-0372,Suspect 518,61,Wanted
20251030-0372,Suspect 8,53,Person of Interest
20251030-0372,Suspect 874,24,Person of Interest
20251030-0375,Suspect 594,60,Wanted
20251030-0375,Suspect 159,53,Arrested
20251030-0375,Suspect 383,65,Suspect
20251030-0376,Suspect 496,23,Arrested
20251030-0380,Suspect 669,62,Arrested
20251030-0381,Suspect 665,54,Person of Interest
20251030-0383,Suspect 120,59,Wanted
20251030-0383,Suspect 210,35,Suspect
20251030-0383,Suspect 283,23,Arrested
20251030-0385,Suspect 310,64,Person of Interest
20251030-0387,Suspect 149,31,Arrested
20251030-0387,Suspect 190,22,Suspect
20251030-0389,Suspect 275,48,Suspect
20251030-0389,Suspect 712,34,Wanted
20251030-0389,Suspect 152,58,Arrested
20251030-0393,Suspect 924,44,Wanted
20251030-0393,Suspect 628,57,Arrested
20251030-0395,Suspect 921,49,Wanted
20251030-0396,Suspect 219,22,Person of Interest
20251030-0397,Suspect 573,39,Person of Interest
20251030-0399,Suspect 787,33,Arrested
20251030-0401,Suspect 65,20,Person of Interest
20251030-0403,Suspect 275,53,Wanted
20251030-0403,Suspect 29,49,Suspect
20251030-0406,Suspect 869,37,Person of Interest
20251030-0406,Suspect 657,25,Arrested
20251030-0408,Suspect 626,26,Arrested
20251030-0408,Suspect 941,18,Suspect
20251030-0409,Suspect 957,32,Suspect
20251030-0409,Suspect 115,35,Person of Interest
20251030-0409,Suspect 412,57,Arrested
20251030-0413,Suspect 298,50,Suspect
20251030-0413,Suspect 855,29,Wanted
20251030-0413,Suspect 62,51,Arrested
20251030-0422,Suspect 697,21,Arrested
20251030-0422,Suspect 73,36,Suspect
20251030-0422,Suspect 127,58,Wanted
20251030-0424,Suspect 347,45,Person of Interest
20251030-0424,Suspect 674,22,Wanted
20251030-0425,Suspect 520,61,Arrested
20251030-0425,Suspect 266,30,Person of Interest
20251030-0427,Suspect 658,26,Person of Interest
20251030-0429,Suspect 875,40,Wanted
20251030-0429,Suspect 885,54,Arrested
20251030-0429,Suspect 178,44,Wanted
20251030-0430,Suspect 449,53,Suspect
20251030-0430,Suspect 676,42,Suspect
20251030-0430,Suspect 837,18,Suspect
20251030-0434,Suspect 880,53,Person of Interest
20251030-0436,Suspect 917,31,Suspect
20251030-0436,Suspect 486,33,Person of Interest
20251030-0443,Suspect 891,58,Wanted
20251030-0443,Suspect 38,43,Suspect
20251030-0443,Suspect 538,27,Arrested
20251030-0446,Suspect 314,40,Arrested
20251030-0446,Suspect 694,18,Suspect
20251030-0447,Suspect 949,64,Person of Interest
20251030-0447,Suspect 263,41,Arrested
20251030-0448,Suspect 594,55,Wanted
20251030-0448,Suspect 475,50,Arrested
20251030-0449,Suspect 115,43,Suspect
20251030-0449,Suspect 558,48,Person of Interest
20251030-0449,Suspect 370,19,Arrested
20251030-0457,Suspect 627,59,Suspect
20251030-0458,Suspect 867,58,Arrested
20251030-0458,Suspect 135,33,Arrested
20251030-0459,Suspect 963,35,Suspect
20251030-0460,Suspect 914,45,Person of Interest
20251030-0462,Suspect 237,40,Wanted
20251030-0462,Suspect 145,53,Person of Interest
20251030-0462,Suspect 429,59,Person of Interest
20251030-0463,Suspect 153,28,Person of Interest
20251030-0463,Suspect 775,56,Arrested
20251030-0463,Suspect 973,58,Suspect
20251030-0466,Suspect 236,29,Suspect
20251030-0466,Suspect 31,26,Arrested
20251030-0466,Suspect 793,26,Arrested
20251030-0468,Suspect 464,49,Arrested
20251030-0468,Suspect 229,21,Wanted
20251030-0469,Suspect 905,61,Suspect
20251030-0469,Suspect 117,42,Arrested
20251030-0469,Suspect 123,50,Arrested
20251030-0471,Suspect 497,32,Suspect
20251030-0471,Suspect 862,54,Wanted
20251030-0472,Suspect 374,39,Arrested
20251030-0473,Suspect 605,62,Person of Interest
20251030-0473,Suspect 792,56,Suspect
20251030-0473,Suspect 541,46,Arrested
20251030-0475,Suspect 965,59,Suspect
20251030-0478,Suspect 243,57,Arrested
20251030-0479,Suspect 437,41,Person of Interest
20251030-0483,Suspect 775,57,Person of Interest
20251030-0483,Suspect 415,18,Wanted
20251030-0483,Suspect 538,35,Arrested
20251030-0485,Suspect 900,40,Person of Interest
20251030-0487,Suspect 740,23,Arrested
20251030-0489,Suspect 512,23,Suspect
20251030-0489,Suspect 534,53,Person of Interest
20251030-0489,Suspect 700,56,Person of Interest
20251030-0490,Suspect 303,24,Arrested
20251030-0490,Suspect 8,37,Person of Interest
20251030-0491,Suspect 45,48,Person of Interest
20251030-0491,Suspect 845,42,Suspect
20251030-0491,Suspect 368,46,Person of Interest
20251030-0497,Suspect 208,60,Arrested
20251030-0497,Suspect 603,56,Suspect
20251030-0497,Suspect 473,28,Person of Interest
20251030-0498,Suspect 658,45,Suspect
20251030-0499,Suspect 915,37,Suspect
20251030-0502,Suspect 150,33,Arrested
20251030-0502,Suspect 986,26,Suspect
20251030-0502,Suspect 16,53,Wanted
20251030-0503,Suspect 950,29,Wanted
20251030-0503,Suspect 264,52,Suspect
20251030-0504,Suspect 425,32,Suspect
20251030-0504,Suspect 543,31,Suspect
20251030-0506,Suspect 977,34,Arrested
20251030-0506,Suspect 548,62,Wanted
20251030-0506,Suspect 558,35,Suspect
20251030-0507,Suspect 530,43,Suspect
20251030-0507,Suspect 545,45,Arrested
20251030-0507,Suspect 484,62,Arrested
20251030-0508,Suspect 582,33,Suspect
20251030-0508,Suspect 484,27,Arrested
20251030-0515,Suspect 281,33,Person of Interest
20251030-0516,Suspect 615,32,Arrested
20251030-0516,Suspect 343,52,Wanted
20251030-0519,Suspect 541,38,Suspect
20251030-0519,Suspect 671,23,Person of Interest
20251030-0519,Suspect 838,63,Wanted
20251030-0520,Suspect 134,58,Arrested
20251030-0521,Suspect 509,42,Arrested
20251030-0524,Suspect 335,60,Arrested
20251030-0526,Suspect 436,45,Person of Interest
20251030-0526,Suspect 55,22,Suspect
20251030-0527,Suspect 5,30,Person of Interest
20251030-0527,Suspect 109,32,Arrested
20251030-0528,Suspect 252,54,Wanted
20251030-0531,Suspect 392,45,Suspect
20251030-0531,Suspect 438,27,Suspect
20251030-0531,Suspect 759,33,Person of Interest
20251030-0533,Suspect 10,62,Arrested
20251030-0533,Suspect 207,20,Wanted
20251030-0536,Suspect 596,22,Person of Interest
20251030-0536,Suspect 612,64,Person of Interest
20251030-0537,Suspect 994,26,Person of Interest
20251030-0537,Suspect 904,60,Person of Interest
20251030-0540,Suspect 742,31,Arrested
20251030-0540,Suspect 782,32,Wanted
20251030-0541,Suspect 498,46,Arrested
20251030-0541,Suspect 404,48,Person of Interest
20251030-0541,Suspect 396,44,Arrested
20251030-0542,Suspect 310,18,Person of Interest
20251030-0542,Suspect 558,52,Suspect
20251030-0543,Suspect 781,41,Suspect
20251030-0543,Suspect 571,53,Wanted
20251030-0543,Suspect 617,55,Arrested
20251030-0544,Suspect 343,32,Wanted
20251030-0548,Suspect 525,48,Arrested
20251030-0548,Suspect 28,35,Arrested
20251030-0548,Suspect 64,37,Person of Interest
20251030-0549,Suspect 401,31,Suspect
20251030-0549,Suspect 312,24,Person of Interest
20251030-0550,Suspect 796,63,Person of Interest
20251030-0550,Suspect 860,30,Person of Interest
20251030-0556,Suspect 986,29,Wanted
20251030-0557,Suspect 703,19,Wanted
20251030-0557,Suspect 219,20,Arrested
20251030-0562,Suspect 785,32,Person of Interest
20251030-0571,Suspect 48,20,Suspect
20251030-0571,Suspect 223,54,Suspect
20251030-0572,Suspect 571,35,Suspect
20251030-0573,Suspect 215,39,Person of Interest
20251030-0573,Suspect 623,33,Wanted
20251030-0573,Suspect 345,55,Arrested
20251030-0574,Suspect 70,45,Suspect
20251030-0574,Suspect 72,59,Wanted
20251030-0574,Suspect 964,46,Person of Interest
20251030-0575,Suspect 212,23,Person of Interest
20251030-0575,Suspect 594,54,Wanted
20251030-0576,Suspect 93,22,Suspect
20251030-0576,Suspect 697,31,Person of Interest
20251030-0588,Suspect 444,28,Person of Interest
20251030-0588,Suspect 223,41,Wanted
20251030-0592,Suspect 24,57,Wanted
20251030-0592,Suspect 280,58,Person of Interest
20251030-0592,Suspect 467,38,Arrested
20251030-0600,Suspect 970,43,Arrested
20251030-0600,Suspect 850,31,Wanted
20251030-0603,Suspect 859,24,Wanted
20251030-0604,Suspect 862,18,Wanted
20251030-0604,Suspect 509,41,Suspect
20251030-0605,Suspect 593,39,Person of Interest
20251030-0605,Suspect 334,50,Suspect
20251030-0609,Suspect 733,58,Arrested
20251030-0609,Suspect 707,46,Arrested
20251030-0612,Suspect 224,34,Arrested
20251030-0612,Suspect 528,61,Arrested
20251030-0612,Suspect 855,21,Suspect
20251030-0614,Suspect 80,55,Suspect
20251030-0614,Suspect 775,29,Person of Interest
20251030-0617,Suspect 682,24,Wanted
20251030-0617,Suspect 88,53,Wanted
20251030-0618,Suspect 78,22,Arrested
20251030-0618,Suspect 551,60,Wanted
20251030-0620,Suspect 395,24,Arrested
20251030-0620,Suspect 110,57,Arrested
20251030-0620,Suspect 933,27,Suspect
20251030-0621,Suspect 963,36,Wanted
20251030-0621,Suspect 204,57,Wanted
20251030-0630,Suspect 702,54,Wanted
20251030-0630,Suspect 121,48,Arrested
20251030-0630,Suspect 29,49,Arrested
20251030-0632,Suspect 70,50,Wanted
20251030-0632,Suspect 335,27,Arrested
20251030-0634,Suspect 565,54,Person of Interest
20251030-0634,Suspect 26,56,Suspect
20251030-0635,Suspect 353,49,Suspect
20251030-0635,Suspect 444,61,Person of Interest
20251030-0635,Suspect 242,46,Arrested
20251030-0637,Suspect 904,65,Suspect
20251030-0637,Suspect 923,53,Person of Interest
20251030-0640,Suspect 154,38,Arrested
20251030-0640,Suspect 482,50,Person of Interest
20251030-0640,Suspect 428,25,Person of Interest
20251030-0647,Suspect 228,29,Person of Interest
20251030-0647,Suspect 820,41,Person of Interest
20251030-0653,Suspect 945,62,Arrested
20251030-0653,Suspect 448,57,Suspect
20251030-0653,Suspect 411,58,Wanted
20251030-0655,Suspect 558,39,Suspect
20251030-0658,Suspect 571,46,Arrested
20251030-0658,Suspect 821,22,Wanted
20251030-0658,Suspect 963,25,Suspect
20251030-0661,Suspect 765,61,Suspect
20251030-0661,Suspect 260,27,Wanted
20251030-0661,Suspect 507,19,Suspect
20251030-0662,Suspect 237,48,Person of Interest
20251030-0662,Suspect 319,56,Wanted
20251030-0662,Suspect 491,56,Arrested
20251030-0670,Suspect 469,48,Arrested
20251030-0670,Suspect 161,18,Person of Interest
20251030-0671,Suspect 295,48,Wanted
20251030-0671,Suspect 620,19,Wanted
20251030-0671,Suspect 209,42,Person of Interest
20251030-0672,Suspect 445,56,Arrested
20251030-0672,Suspect 276,44,Person of Interest
20251030-0672,Suspect 77,62,Suspect
20251030-0673,Suspect 575,30,Person of Interest
20251030-0673,Suspect 789,29,Arrested
20251030-0673,Suspect 58,23,Suspect
20251030-0674,Suspect 940,35,Suspect
20251030-0677,Suspect 817,25,Arrested
20251030-0677,Suspect 383,56,Suspect
20251030-0679,Suspect 277,39,Arrested
20251030-0679,Suspect 244,48,Wanted
20251030-0679,Suspect 344,56,Wanted
20251030-0683,Suspect 350,31,Wanted
20251030-0683,Suspect 273,54,Suspect
20251030-0683,Suspect 613,25,Person of Interest
20251030-0685,Suspect 360,50,Suspect
20251030-0685,Suspect 670,42,Suspect
20251030-0688,Suspect 881,32,Person of Interest
20251030-0691,Suspect 607,26,Arrested
20251030-0691,Suspect 614,48,Person of Interest
20251030-0691,Suspect 539,63,Suspect
20251030-0692,Suspect 387,62,Person of Interest
20251030-0692,Suspect 822,30,Wanted
20251030-0693,Suspect 329,63,Person of Interest
20251030-0693,Suspect 836,23,Person of Interest
20251030-0698,Suspect 412,42,Wanted
20251030-0699,Suspect 573,23,Wanted
20251030-0699,Suspect 273,21,Person of Interest
20251030-0704,Suspect 12,49,Suspect
20251030-0704,Suspect 72,62,Wanted
20251030-0709,Suspect 638,30,Wanted
20251030-0709,Suspect 730,26,Suspect
20251030-0709,Suspect 764,32,Wanted
20251030-0710,Suspect 115,55,Arrested
20251030-0711,Suspect 356,35,Wanted
20251030-0711,Suspect 733,59,Person of Interest
20251030-0712,Suspect 817,54,Wanted
20251030-0712,Suspect 189,49,Suspect
20251030-0713,Suspect 340,55,Person of Interest
20251030-0715,Suspect 817,51,Person of Interest
20251030-0718,Suspect 219,59,Suspect
20251030-0721,Suspect 910,24,Arrested
20251030-0724,Suspect 934,42,Wanted
20251030-0725,Suspect 207,20,Person of Interest
20251030-0725,Suspect 296,38,Arrested
20251030-0728,Suspect 235,55,Person of Interest
20251030-0729,Suspect 88,54,Suspect
20251030-0734,Suspect 568,27,Wanted
20251030-0736,Suspect 590,30,Suspect
20251030-0736,Suspect 249,26,Arrested
20251030-0738,Suspect 790,27,Wanted
20251030-0740,Suspect 477,38,Wanted
20251030-0744,Suspect 613,44,Wanted
20251030-0744,Suspect 768,29,Person of Interest
20251030-0748,Suspect 390,57,Arrested
20251030-0748,Suspect 410,46,Wanted
20251030-0750,Suspect 254,35,Suspect
20251030-0751,Suspect 890,46,Suspect
20251030-0751,Suspect 934,21,Suspect
20251030-0751,Suspect 731,19,Wanted
20251030-0754,Suspect 486,58,Person of Interest
20251030-0754,Suspect 419,25,Arrested
20251030-0754,Suspect 80,58,Wanted
20251030-0756,Suspect 279,37,Person of Interest
20251030-0759,Suspect 652,53,Wanted
20251030-0760,Suspect 411,49,Suspect
20251030-0764,Suspect 725,59,Person of Interest
20251030-0764,Suspect 59,40,Arrested
20251030-0765,Suspect 170,62,Arrested
20251030-0765,Suspect 99,56,Wanted
20251030-0766,Suspect 813,32,Arrested
20251030-0766,Suspect 459,34,Suspect
20251030-0768,Suspect 649,57,Suspect
20251030-0768,Suspect 857,34,Person of Interest
20251030-0770,Suspect 60,28,Suspect
